"No.","Time","Source","Destination","Protocol","Length","Info"
"158","21.995537","127.0.0.1","127.0.0.1","HTTP","12809","POST /command/core/create-project-from-upload?options=%7B%22storeEmptyStrings%22%3A+true%2C+%22trimStrings%22%3A+false%2C+%22linesPerRow%22%3A+1%2C+%22storeBlankCellsAsNulls%22%3A+true%2C+%22includeFileSources%22%3A+false%2C+%22headerLines%22%3A+1%2C+%22processQuotes%22%3A+true%2C+%22storeBlankRows%22%3A+true%2C+%22ignoreLines%22%3A+-1%2C+%22skipDataLines%22%3A+0%2C+%22limit%22%3A+-1%2C+%22separator%22%3A+%22%2C%22%2C+%22guessCellValueTypes%22%3A+false%7D HTTP/1.0  (text/csv)"
"160","22.869540","127.0.0.1","127.0.0.1","HTTP","183","HTTP/1.1 302 Found "
"169","22.875125","127.0.0.1","127.0.0.1","HTTP","156","GET /project?project=1698916371093 HTTP/1.0 "
"176","23.119920","127.0.0.1","127.0.0.1","HTTP","56","HTTP/1.1 200 OK  (text/html)"
"185","23.122567","127.0.0.1","127.0.0.1","HTTP","172","GET /command/core/get-models?project=1698916371093 HTTP/1.0 "
"189","23.125258","127.0.0.1","127.0.0.1","HTTP","767","HTTP/1.1 200 OK  (application/json)"
"202","23.131714","127.0.0.1","127.0.0.1","HTTP","146","POST /command/core/get-rows HTTP/1.0  (application/x-www-form-urlencoded)"
"206","23.205723","127.0.0.1","127.0.0.1","HTTP","3579","HTTP/1.1 200 OK  (application/json)"
"217","23.208262","127.0.0.1","127.0.0.1","HTTP","172","GET /command/core/get-models?project=1698916371093 HTTP/1.0 "
"220","23.230263","127.0.0.1","127.0.0.1","HTTP","767","HTTP/1.1 200 OK  (application/json)"
"246","23.321852","127.0.0.1","127.0.0.1","HTTP","172","GET /command/core/get-models?project=1698916371093 HTTP/1.0 "
"248","23.321971","127.0.0.1","127.0.0.1","HTTP","172","GET /command/core/get-models?project=1698916371093 HTTP/1.0 "
"250","23.322206","127.0.0.1","127.0.0.1","HTTP","172","GET /command/core/get-models?project=1698916371093 HTTP/1.0 "
"256","23.323097","127.0.0.1","127.0.0.1","HTTP","172","GET /command/core/get-models?project=1698916371093 HTTP/1.0 "
"259","23.358275","127.0.0.1","127.0.0.1","HTTP","767","HTTP/1.1 200 OK  (application/json)"
"269","23.361127","127.0.0.1","127.0.0.1","HTTP","767","HTTP/1.1 200 OK  (application/json)"
"284","23.362982","127.0.0.1","127.0.0.1","HTTP","249","POST /command/core/text-transform HTTP/1.0  (application/x-www-form-urlencoded)"
"287","23.363207","127.0.0.1","127.0.0.1","HTTP","767","HTTP/1.1 200 OK  (application/json)"
"301","23.364668","127.0.0.1","127.0.0.1","HTTP","241","POST /command/core/text-transform HTTP/1.0  (application/x-www-form-urlencoded)"
"309","23.369886","127.0.0.1","127.0.0.1","HTTP","247","POST /command/core/text-transform HTTP/1.0  (application/x-www-form-urlencoded)"
"313","23.389205","127.0.0.1","127.0.0.1","HTTP","767","HTTP/1.1 200 OK  (application/json)"
"326","23.393203","127.0.0.1","127.0.0.1","HTTP","249","POST /command/core/text-transform HTTP/1.0  (application/x-www-form-urlencoded)"
"332","24.432869","127.0.0.1","127.0.0.1","HTTP","56","HTTP/1.1 200 OK  (application/json)"
"341","24.437853","127.0.0.1","127.0.0.1","HTTP","172","GET /command/core/get-models?project=1698916371093 HTTP/1.0 "
"344","24.447828","127.0.0.1","127.0.0.1","HTTP","767","HTTP/1.1 200 OK  (application/json)"
"358","24.450968","127.0.0.1","127.0.0.1","HTTP","240","POST /command/core/text-transform HTTP/1.0  (application/x-www-form-urlencoded)"
"364","25.668654","127.0.0.1","127.0.0.1","HTTP","56","HTTP/1.1 200 OK  (application/json)"
"373","25.863725","127.0.0.1","127.0.0.1","HTTP","56","HTTP/1.1 200 OK  (application/json)"
"378","25.865956","127.0.0.1","127.0.0.1","HTTP","56","HTTP/1.1 200 OK  (application/json)"
"395","26.266013","127.0.0.1","127.0.0.1","HTTP","56","HTTP/1.1 200 OK  (application/json)"
